05-15 12:59:29: Training starting...
05-15 12:59:30: New best reward 10.0 (-100.0%) at episode 0, saving model...
05-15 12:59:30: New best reward 17.0 (+70.0%) at episode 1, saving model...
05-15 12:59:30: New best reward 18.0 (+5.9%) at episode 2, saving model...
05-15 12:59:30: New best reward 20.0 (+11.1%) at episode 3, saving model...
05-15 12:59:30: New best reward 36.0 (+80.0%) at episode 4, saving model...
05-15 12:59:30: New best reward 44.0 (+22.2%) at episode 6, saving model...
05-15 12:59:30: New best reward 46.0 (+4.5%) at episode 13, saving model...
05-15 12:59:30: New best reward 54.0 (+17.4%) at episode 67, saving model...
05-15 12:59:31: New best reward 61.0 (+13.0%) at episode 131, saving model...
05-15 12:59:31: New best reward 64.0 (+4.9%) at episode 251, saving model...
05-15 13:00:46: New best reward 88.0 (+37.5%) at episode 19050, saving model...
05-15 13:00:46: New best reward 99.0 (+12.5%) at episode 19053, saving model...
05-15 13:00:46: New best reward 125.0 (+26.3%) at episode 19055, saving model...
05-15 13:00:46: New best reward 143.0 (+14.4%) at episode 19058, saving model...
05-15 13:00:46: New best reward 155.0 (+8.4%) at episode 19061, saving model...
05-15 13:01:20: New best reward 198.0 (+27.7%) at episode 27701, saving model...
05-15 13:01:22: New best reward 212.0 (+7.1%) at episode 27779, saving model...
05-15 13:01:23: New best reward 231.0 (+9.0%) at episode 27805, saving model...
05-15 13:01:23: New best reward 235.0 (+1.7%) at episode 27811, saving model...
05-15 13:01:24: New best reward 295.0 (+25.5%) at episode 27819, saving model...
05-15 13:01:24: New best reward 356.0 (+20.7%) at episode 27820, saving model...
05-15 13:01:24: New best reward 361.0 (+1.4%) at episode 27821, saving model...
05-15 13:01:24: New best reward 493.0 (+36.6%) at episode 27822, saving model...
05-15 13:01:25: New best reward 557.0 (+13.0%) at episode 27830, saving model...
05-15 13:01:25: New best reward 567.0 (+1.8%) at episode 27831, saving model...
05-15 13:01:25: New best reward 577.0 (+1.8%) at episode 27837, saving model...
05-15 13:01:27: New best reward 625.0 (+8.3%) at episode 27858, saving model...
05-15 13:01:27: New best reward 1106.0 (+77.0%) at episode 27859, saving model...
05-15 13:05:26: New best reward 1128.0 (+2.0%) at episode 71350, saving model...
05-15 13:05:27: New best reward 1198.0 (+6.2%) at episode 71353, saving model...
05-15 13:05:27: New best reward 1290.0 (+7.7%) at episode 71354, saving model...
05-15 13:05:28: New best reward 1771.0 (+37.3%) at episode 71356, saving model...
05-15 13:05:29: New best reward 2159.0 (+21.9%) at episode 71359, saving model...
05-15 13:05:30: New best reward 3070.0 (+42.2%) at episode 71360, saving model...
05-15 13:05:31: New best reward 3102.0 (+1.0%) at episode 71362, saving model...
05-15 13:05:56: New best reward 100000.0 (+3123.7%) at episode 71363, saving model...
