05-15 19:17:39: Training starting...
05-15 19:17:41: New best reward -8.1 (-100.0%) at episode 0, saving model...
05-15 19:17:41: New best reward -7.5 (-7.4%) at episode 1, saving model...
05-15 19:17:41: New best reward -4.5 (-40.0%) at episode 5, saving model...
05-15 19:17:41: New best reward -3.9 (-13.3%) at episode 57, saving model...
05-15 19:17:42: New best reward -2.7 (-30.8%) at episode 117, saving model...
05-15 19:17:47: New best reward -1.5 (-44.4%) at episode 465, saving model...
05-15 19:17:52: New best reward 0.3 (-120.0%) at episode 834, saving model...
05-15 19:18:12: New best reward 1.5 (+400.0%) at episode 2043, saving model...
05-15 19:18:18: New best reward 3.9 (+160.0%) at episode 2315, saving model...
05-15 19:20:30: New best reward 4.0 (+2.6%) at episode 8937, saving model...
05-15 19:20:59: New best reward 4.5 (+12.5%) at episode 10313, saving model...
05-15 19:21:36: New best reward 4.7 (+4.4%) at episode 11926, saving model...
05-15 19:22:05: New best reward 6.0 (+27.7%) at episode 13247, saving model...
05-15 19:22:24: New best reward 6.1 (+1.7%) at episode 14108, saving model...
05-15 19:23:05: New best reward 6.3 (+3.3%) at episode 15932, saving model...
05-15 19:23:34: New best reward 6.4 (+1.6%) at episode 17181, saving model...
05-15 19:24:05: New best reward 6.5 (+1.6%) at episode 18569, saving model...
05-15 19:24:17: New best reward 6.6 (+1.5%) at episode 19064, saving model...
05-15 19:24:17: New best reward 8.4 (+27.3%) at episode 19095, saving model...
05-15 19:29:16: New best reward 8.9 (+6.0%) at episode 31167, saving model...
05-15 19:31:01: New best reward 11.3 (+27.0%) at episode 35127, saving model...
05-15 19:36:45: New best reward 12.9 (+14.2%) at episode 48047, saving model...
05-15 19:37:00: New best reward 13.0 (+0.8%) at episode 48490, saving model...
05-15 19:37:01: New best reward 13.3 (+2.3%) at episode 48527, saving model...
05-15 19:37:13: New best reward 15.5 (+16.5%) at episode 48913, saving model...
05-15 19:37:24: New best reward 17.9 (+15.5%) at episode 49301, saving model...
05-15 19:38:12: New best reward 19.0 (+6.1%) at episode 50954, saving model...
05-15 19:38:13: New best reward 27.8 (+46.3%) at episode 50961, saving model...
05-15 19:38:19: New best reward 39.1 (+40.6%) at episode 51189, saving model...
05-15 19:39:27: New best reward 41.5 (+6.1%) at episode 53324, saving model...
05-15 19:40:00: New best reward 43.4 (+4.6%) at episode 54246, saving model...
05-15 19:42:46: New best reward 43.5 (+0.2%) at episode 58696, saving model...
05-15 19:43:28: New best reward 45.9 (+5.5%) at episode 59672, saving model...
05-15 19:44:13: New best reward 54.9 (+19.6%) at episode 60744, saving model...
05-15 19:45:43: New best reward 71.3 (+29.9%) at episode 63040, saving model...
