05-15 19:15:16: Training starting...
05-15 19:15:18: New best reward -346.0 (-100.0%) at episode 0, saving model...
05-15 19:15:18: New best reward -338.8 (-2.1%) at episode 1, saving model...
05-15 19:15:18: New best reward -164.7 (-51.4%) at episode 2, saving model...
05-15 19:15:18: New best reward -86.2 (-47.7%) at episode 6, saving model...
05-15 19:15:18: New best reward -72.2 (-16.1%) at episode 14, saving model...
05-15 19:15:18: New best reward -64.7 (-10.5%) at episode 22, saving model...
05-15 19:15:18: New best reward -11.8 (-81.8%) at episode 27, saving model...
05-15 19:15:19: New best reward 3.9 (-133.1%) at episode 79, saving model...
05-15 19:15:19: New best reward 13.7 (+250.6%) at episode 113, saving model...
05-15 19:15:20: New best reward 21.6 (+57.9%) at episode 162, saving model...
05-15 19:15:24: New best reward 25.8 (+19.4%) at episode 398, saving model...
05-15 19:15:26: New best reward 39.2 (+52.2%) at episode 526, saving model...
05-15 19:15:26: New best reward 39.9 (+1.8%) at episode 556, saving model...
